F Number: F270477
VERSION : SpotTool+            
$VERSION: V9.30126      2/12/2021
DATE:     11-AUG-21 11:01:08 

Spot Weld Process Summary File
HIST_IDX,PROGRAM,PROCESS_ID,TOUCHUP_TIME,Exec_time,Fault,Bookmark,Weld time ( ms),Time to force ( ms),Weld sched,SD index,P index,ED index,Inst type,Gun num,Retried,Weld noweld,FFR active,Thick before ( mm),Setdown ( mm),Tip wear ( mm),SD val ( mm),Thick val ( mm),Pressure cmd ( lbf),ED val ( mm),Contact pos ( mm),Pressure pos ( mm),Pressure trq ( trq),Pressure fdb ( lbf),Tip Open trq ( Kgf),Motor TEMP ( deg C),****,****,****,****,****,****,
 21,MANWELD,1, 10-JUL-21 03:50:38 , 10-JUL-21 04:08:08  ,Weld sim Enabled,00-0-80 00:00:00  ,0504 ,  64 ,       250 , 81 , 51 , 81 ,1 ,1 ,0 ,0 ,0 ,12.96 ,0.00 ,0.00 ,0.00 ,12.80 ,360.00 ,0.00 ,-11.77 ,-11.80 ,3.23 ,342.71 ,52.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 22,MANWELD,1, 10-JUL-21 03:50:38 , 10-JUL-21 04:08:20  ,Weld sim Enabled,00-0-80 00:00:00  ,0504 ,  64 ,       250 , 81 , 53 , 81 ,1 ,1 ,0 ,0 ,0 ,13.02 ,0.00 ,0.00 ,0.00 ,12.80 ,800.00 ,0.00 ,-11.57 ,-11.13 ,8.72 ,798.02 ,54.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 23,MANWELD,1, 10-JUL-21 03:50:38 , 10-JUL-21 04:08:26  ,Weld sim Enabled,00-0-80 00:00:00  ,0504 ,  64 ,       250 , 81 , 53 , 81 ,1 ,1 ,0 ,0 ,0 ,13.00 ,0.00 ,0.00 ,0.00 ,12.80 ,800.00 ,0.00 ,-11.57 ,-11.12 ,8.71 ,795.96 ,49.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 24,MANWELD,1, 10-JUL-21 03:50:38 , 10-JUL-21 04:08:34  ,Weld sim Enabled,00-0-80 00:00:00  ,0504 ,  64 ,       250 , 81 , 53 , 81 ,1 ,1 ,0 ,0 ,0 ,13.01 ,0.00 ,0.00 ,0.00 ,12.80 ,800.00 ,0.00 ,-11.57 ,-11.12 ,8.72 ,798.02 ,45.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 25,MANWELD,1, 10-JUL-21 03:50:38 , 10-JUL-21 04:18:18  ,Weld sim Enabled,00-0-80 00:00:00  ,0504 ,  64 ,       250 , 81 , 53 , 81 ,1 ,1 ,0 ,0 ,0 ,13.14 ,0.00 ,0.00 ,0.00 ,12.80 ,800.00 ,0.00 ,-11.52 ,-11.23 ,8.82 ,853.03 ,48.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 26,MANWELD,1, 10-JUL-21 03:50:38 , 10-JUL-21 04:18:28  ,Weld sim Enabled,00-0-80 00:00:00  ,0504 ,  56 ,       250 , 81 , 52 , 81 ,1 ,1 ,0 ,0 ,0 ,13.04 ,0.00 ,0.00 ,0.00 ,12.80 ,600.00 ,0.00 ,-11.65 ,-11.46 ,6.63 ,612.07 ,60.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 27,MANWELD,1, 10-JUL-21 03:50:38 , 10-JUL-21 04:18:34  ,Weld sim Enabled,00-0-80 00:00:00  ,0504 ,  56 ,       250 , 81 , 52 , 81 ,1 ,1 ,0 ,0 ,0 ,13.00 ,0.00 ,0.00 ,0.00 ,12.80 ,600.00 ,0.00 ,-11.65 ,-11.46 ,6.26 ,581.57 ,58.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 28,MANWELD,1, 10-JUL-21 03:50:38 , 10-JUL-21 04:19:54  ,Weld sim Enabled,00-0-80 00:00:00  ,0504 ,  64 ,       250 , 81 , 52 , 81 ,1 ,1 ,0 ,0 ,0 ,13.00 ,0.00 ,0.00 ,0.00 ,12.80 ,600.00 ,0.00 ,-11.65 ,-11.46 ,6.25 ,580.51 ,58.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 29,MANWELD,1, 10-JUL-21 03:50:38 , 10-JUL-21 04:21:14  ,Weld sim Enabled,00-0-80 00:00:00  ,0504 ,  64 ,       250 , 81 , 53 , 81 ,1 ,1 ,0 ,0 ,0 ,13.14 ,0.00 ,0.00 ,0.00 ,12.80 ,800.00 ,0.00 ,-11.52 ,-11.23 ,8.82 ,853.03 ,53.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 30,MANWELD,1, 10-JUL-21 03:50:38 , 10-JUL-21 04:21:50  ,Weld sim Enabled,00-0-80 00:00:00  ,0504 ,  56 ,       250 , 81 , 53 , 81 ,1 ,1 ,0 ,0 ,0 ,13.15 ,0.00 ,0.00 ,0.00 ,12.80 ,800.00 ,0.00 ,-11.53 ,-11.27 ,8.69 ,833.92 ,53.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 31,MANWELD,1, 10-JUL-21 03:50:38 , 10-JUL-21 04:22:42  ,Weld sim Enabled,00-0-80 00:00:00  ,0504 ,  56 ,       250 , 81 , 54 , 81 ,1 ,1 ,0 ,0 ,0 ,13.33 ,0.00 ,0.00 ,0.00 ,12.80 ,1000.00 ,0.00 ,-11.30 ,-11.07 ,10.64 ,1004.77 ,58.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 32,MANWELD,1, 10-JUL-21 03:50:38 , 10-JUL-21 04:22:50  ,Weld sim Enabled,00-0-80 00:00:00  ,0504 ,  56 ,       250 , 81 , 54 , 81 ,1 ,1 ,0 ,0 ,0 ,13.30 ,0.00 ,0.00 ,0.00 ,12.80 ,1000.00 ,0.00 ,-11.27 ,-11.04 ,10.67 ,1006.66 ,60.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 33,MANWELD,1, 10-JUL-21 03:50:38 , 10-JUL-21 04:23:22  ,Weld sim Enabled,00-0-80 00:00:00  ,0504 ,  56 ,       250 , 81 , 54 , 81 ,1 ,1 ,0 ,0 ,0 ,13.29 ,0.00 ,0.00 ,0.00 ,12.80 ,1000.00 ,0.00 ,-11.27 ,-11.03 ,10.67 ,1006.66 ,56.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 34,MANWELD,1, 10-JUL-21 03:50:38 , 10-JUL-21 04:23:52  ,Weld sim Enabled,00-0-80 00:00:00  ,0504 ,  56 ,       250 , 81 , 54 , 81 ,1 ,1 ,0 ,0 ,0 ,13.31 ,0.00 ,0.00 ,0.00 ,12.80 ,1000.00 ,0.00 ,-11.28 ,-11.05 ,10.68 ,1007.61 ,63.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 35,MANWELD,1, 10-JUL-21 03:50:38 , 10-JUL-21 04:25:36  ,Weld sim Enabled,00-0-80 00:00:00  ,0504 ,  56 ,       250 , 81 , 57 , 81 ,1 ,1 ,0 ,0 ,0 ,13.44 ,0.00 ,0.00 ,0.00 ,12.80 ,1300.00 ,0.00 ,-11.25 ,-10.58 ,13.77 ,1326.32 ,69.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 36,MANWELD,1, 10-JUL-21 03:50:38 , 10-JUL-21 04:26:14  ,Weld sim Enabled,00-0-80 00:00:00  ,0504 ,  64 ,       250 , 81 , 57 , 81 ,1 ,1 ,0 ,0 ,0 ,13.43 ,0.00 ,0.00 ,0.00 ,12.80 ,1300.00 ,0.00 ,-11.24 ,-10.58 ,13.76 ,1324.70 ,65.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 37,MANWELD,1, 10-JUL-21 03:50:38 , 10-JUL-21 04:26:42  ,Weld sim Enabled,00-0-80 00:00:00  ,0504 ,  64 ,       250 , 81 , 57 , 81 ,1 ,1 ,0 ,0 ,0 ,13.43 ,0.00 ,0.00 ,0.00 ,12.80 ,1300.00 ,0.00 ,-11.25 ,-10.57 ,13.77 ,1326.32 ,63.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 38,MANWELD,1, 10-JUL-21 03:50:38 , 10-JUL-21 04:27:54  ,Weld sim Enabled,00-0-80 00:00:00  ,0504 ,  64 ,       250 , 81 , 58 , 81 ,1 ,1 ,0 ,0 ,0 ,13.47 ,0.00 ,0.00 ,0.00 ,12.80 ,1400.00 ,0.00 ,-11.23 ,-10.42 ,14.76 ,1442.64 ,71.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 39,MANWELD,1, 10-JUL-21 03:50:38 , 10-JUL-21 04:28:18  ,Weld sim Enabled,00-0-80 00:00:00  ,0504 ,  64 ,       250 , 81 , 58 , 81 ,1 ,1 ,0 ,0 ,0 ,13.38 ,0.00 ,0.00 ,0.00 ,12.80 ,1400.00 ,0.00 ,-11.68 ,-10.34 ,14.75 ,1441.02 ,59.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 40,MANWELD,1, 10-JUL-21 03:50:38 , 27-JUL-21 22:36:58  ,Major alarm detected %s,00-0-80 00:00:00  ,0056 ,  72 ,       249 ,  9 , 58 ,  9 ,1 ,1 ,0 ,0 ,0 ,1.39 ,0.00 ,-.13 ,5.00 ,2.50 ,1400.00 ,5.00 ,.59 ,1.60 ,14.47 ,1408.71 ,0.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 41,MANWELD,1, 10-JUL-21 03:50:38 , 27-JUL-21 22:43:58  ,Major alarm detected %s,00-0-80 00:00:00  ,0040 ,  72 ,       249 ,  9 , 58 ,  9 ,1 ,1 ,0 ,0 ,0 ,1.25 ,0.00 ,-.13 ,5.00 ,2.50 ,1400.00 ,5.00 ,.83 ,1.76 ,14.56 ,1418.40 ,0.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 42,MANWELD,1, 10-JUL-21 03:50:38 , 27-JUL-21 23:07:22  ,Major alarm detected %s,00-0-80 00:00:00  ,0048 ,  72 ,       249 ,  9 , 58 ,  9 ,1 ,1 ,0 ,1 ,0 ,.24 ,0.00 ,-.13 ,5.00 ,2.50 ,1400.00 ,5.00 ,1.10 ,2.61 ,13.80 ,1329.55 ,0.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 43,MANWELD,1, 10-JUL-21 03:50:38 , 27-JUL-21 23:07:38  ,Major alarm detected %s,00-0-80 00:00:00  ,0040 ,  72 ,       249 ,  9 , 58 ,  9 ,1 ,1 ,0 ,1 ,0 ,-.24 ,0.00 ,-.13 ,5.00 ,2.50 ,1400.00 ,5.00 ,2.12 ,3.23 ,14.42 ,1402.25 ,0.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 44,MANWELD,1, 10-JUL-21 03:50:38 , 27-JUL-21 23:09:44  ,Major alarm detected %s,00-0-80 00:00:00  ,0040 ,  72 ,       249 ,  9 , 58 ,  9 ,1 ,1 ,0 ,1 ,0 ,-.40 ,0.00 ,-.13 ,5.00 ,2.50 ,1400.00 ,5.00 ,2.36 ,3.40 ,14.47 ,1408.71 ,0.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 45,MANWELD,1, 10-JUL-21 03:50:38 , 27-JUL-21 23:11:54  ,Major alarm detected %s,00-0-80 00:00:00  ,0056 ,  72 ,       249 ,  9 , 58 ,  9 ,1 ,1 ,0 ,1 ,0 ,-.43 ,0.00 ,-.13 ,5.00 ,2.50 ,1400.00 ,5.00 ,2.37 ,3.43 ,14.47 ,1408.71 ,0.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 46,MANWELD,1, 10-JUL-21 03:50:38 , 27-JUL-21 23:16:10  ,Major alarm detected %s,00-0-80 00:00:00  ,0048 ,  72 ,       248 ,  9 , 58 ,  9 ,1 ,1 ,0 ,1 ,0 ,-.45 ,0.00 ,-.13 ,5.00 ,0.00 ,1400.00 ,5.00 ,2.37 ,3.44 ,14.45 ,1405.48 ,0.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 47,MANWELD,1, 10-JUL-21 03:50:38 , 27-JUL-21 23:25:54  ,Major alarm detected %s,00-0-80 00:00:00  ,0064 ,  72 ,       248 ,  9 , 58 ,  9 ,1 ,1 ,0 ,1 ,0 ,-.44 ,0.00 ,-.13 ,5.00 ,0.00 ,1400.00 ,5.00 ,2.37 ,3.44 ,14.47 ,1408.71 ,0.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
